Company,Description,URL,title,location,date_posted,link,fit,Unnamed: 8,fit reason,role description,role responsibilities,role reqs,role years experience,final fit,yrs exp req
Upflow,B2B payments platform.,https://upflow.io/,Customer Care Intern,Paris Office,"May 5, 2025",https://jobs.ashbyhq.com/upflow/7d392a80-1736-4153-bf16-4847b626110e,5.0,,No job details; likely entry-level customer support with limited strategic/analytical scope and seniority mismatch to your goals.,Provided content contains only website frontend/JavaScript boilerplate and no job description or company information.,['No responsibilities or duties listed in the provided text.'],['No requirements or qualifications listed in the provided text.'],,3,
Upflow,B2B payments platform.,https://upflow.io/,Associate Account Executive - US,New York Office,"Apr 22, 2025",https://jobs.ashbyhq.com/upflow/4128b113-76d8-4035-8fe6-d94db9f848ae,8.0,,Lacks required 2+ yrs SaaS new-business AE experience and NY location; has transferable BD/GTM and pitching skills but role is a poor direct fit.,"Upflow is a product-led B2B SaaS company that helps businesses improve cash collection and cash flow. They are hiring an Associate/Senior Account Executive (US, New York-based, hybrid) to drive new business, close deals, and grow monthly recurring revenue as part of the Sales & Growth team.","['Prospect and generate qualified new business opportunities (outbound/hunter focus)', 'Manage full sales cycle from discovery calls to contract signing', 'Pitch Upflow’s value proposition to prospects and understand their processes and challenges', 'Collaborate with Sales & Growth teams to build pipeline and close net-new clients', 'Continuously improve sales processes and share best practices', 'Complete sales training and mentorship programs to develop skills', 'Maximize revenue through an uncapped commission structure and drive MRR growth']","['Minimum 2 years of AE/new business SaaS sales experience', 'Strong outbound hunter mentality and pipeline-building skills', 'Experience in startup/fintech environments and familiarity with ERP/accounting ecosystems preferred', 'Fluent in English and based in New York (hybrid on-site role)', 'Highly motivated, proactive and accountable with a strong sense of ownership', 'Coachable, open to feedback and eager to learn', 'Excellent listener and communicator with good interpersonal skills', 'Organized and rigorous (experience managing CRM/Salesforce and high volumes of outreach)', 'Positive, team-oriented attitude and ability to collaborate across functions']",,3,2.0
Bunch,Investment management platform.,https://www.bunch.capital,Open Positions,"Berlin, Germany",2024-07-25,https://www.bunch.capital/about#open-positions,7.0,,"No job title, company, responsibilities, or requirements provided — cannot assess fit.","The provided posting is mostly website code, scripts and CSS from a careers/job-board page and does not include a clear job title, company description, role overview, or duties.",[],[],,1,
Gumloop,Automate any workflow with AI.,https://www.gumloop.com/,Growth Marketer,San Francisco Office,"Oct 23, 2025",https://jobs.ashbyhq.com/gumloop/1511dbb2-68b2-4f81-882d-944b231cefaf,8.0,,"Strong analytics, experimentation, and technical chops but lacks 3–6 years of proven SaaS PLG growth/marketing experience and direct campaign/copy track record.","Gumloop, an early-stage San Francisco SaaS/PLG company, is hiring its first Growth Marketer to build the marketing function from scratch. This hands-on IC role reports to founders/GTM leads and focuses on experimentation, PLG loop optimization, campaigns, messaging, and analytics to drive activation, conversion, retention, and awareness.","['Own the full marketing stack including messaging, campaigns, analytics, and experimentation', 'Design and run funnel experiments to drive activation, expansion, and retention', 'Build and optimize product-led growth (PLG) loops across onboarding, pricing, and in-product nudges', 'Create, launch, and iterate paid and organic campaigns (search, social, podcasts, newsletters)', 'Develop and refine messaging and positioning for enterprise and individual users', 'Partner with Sales to produce high-converting content and sales enablement materials', 'Manage analytics, tracking, and reporting to enable data-driven decisions', 'Drive awareness via creative campaigns, partnerships, and community presence', 'Potentially oversee SDRs or growth-focused projects as the organization scales']","['3–6 years experience in growth or full-stack marketing for SaaS / PLG products', 'Proven track record driving measurable growth at PLG SaaS or dev-tool companies', 'Full-stack marketing skill set spanning strategy, execution, and analytics', 'Strong copywriting ability and attention to creative detail', 'Comfortable owning performance channels and attribution tools (e.g., GA, Looker, HubSpot)', 'Bias for action, experimentation, and rapid iteration', 'Experience marketing to technical audiences or builders and collaborating with engineers/designers', 'Willingness to work in-office in San Francisco']",,4,3.0
Gumloop,Automate any workflow with AI.,https://www.gumloop.com/,Sales Development Representative (SDR),Vancouver Office,"Oct 18, 2025",https://jobs.ashbyhq.com/gumloop/0ccc2faf-c011-4f46-ba4a-c55c41b2d6aa,6.0,,"Good fit for BD/GTM and growth—strong analytical, stakeholder-facing and ops experience in SF; weaker on direct outbound sales/Salesforce experience and role is more tactical than the strategic roles you prefer.","Gumloop is hiring two in-person Sales Development Representatives (SDRs) in Vancouver or San Francisco to build outbound enterprise pipeline, qualify opportunities for Account Executives, and support the company’s go-to-market growth. Compensation is base + commission with a competitive salary range and early-career advancement opportunities.","['Generate outbound pipeline through personalized emails, calls, and social outreach', 'Lead introductory conversations with decision-makers at enterprise companies', 'Evangelize Gumloop’s value proposition and qualify opportunities for Account Executives', 'Partner with Marketing to improve campaigns and outreach sequences', 'Research and segment target accounts to identify high-potential prospects', 'Maintain disciplined pipeline management and data hygiene in Salesforce']","['1–3 years experience in outbound sales, business development, or pipeline generation (SaaS preferred)', 'Experience engaging senior stakeholders and explaining technical products', 'Relentless, goal-oriented mindset comfortable with high-volume outreach', 'Excellent communication and organizational skills', 'Proficiency in Salesforce and a data-driven approach to outreach', 'Intellectual curiosity and eagerness to learn about automation and workflow software', 'Collaborative, coachable attitude']",,7,1.0
Gumloop,Automate any workflow with AI.,https://www.gumloop.com/,Founding Enterprise AE,San Francisco Office,"Sep 22, 2025",https://jobs.ashbyhq.com/gumloop/02a4e41c-ca1e-4dd7-88b6-d14fd8c8d401,6.0,,"Lacks proven enterprise SaaS sales track record, large-deal closes, and SDR/people management; background is analytics/VC/ops/GTM-adjacent but not senior enterprise sales.","Founding Enterprise Account Executive at Gumloop, a fast-growing workflow automation company with enterprise customers (e.g., Shopify, Instacart, DoorDash, Ramp). The role is a greenfield opportunity to own and scale large enterprise (six- to seven-figure) deals and help build the company’s enterprise sales function.","['Own full sales cycle from prospecting to close for Fortune 1000 accounts with six- to seven-figure deal sizes', 'Navigate complex, multi-stakeholder sales processes including procurement, legal, and security', 'Outbound to target accounts and maintain a healthy pipeline of strategic opportunities', 'Partner with SDRs to develop account strategies, execute outreach, and qualify opportunities', 'Rigorously qualify opportunities and experiment with tactics to accelerate deals and remove friction', 'Run high-converting pilots/POCs to demonstrate business value and expand into enterprise-wide rollouts', 'Provide consistent, accurate forecasting and visibility to leadership', 'Evangelize the product as a trusted advisor and bring automation best practices to customer conversations', 'Help build the sales machine: create playbooks, processes, materials, and templates', 'Capture customer feedback and collaborate with product to shape the roadmap']","['Proven experience closing large enterprise SaaS deals at a high-growth startup', 'Strong background in workflow automation, integrations, or adjacent software categories', 'Demonstrated success running complex, multi-stakeholder sales processes with long cycles', 'Strategic, consultative selling style with high emotional intelligence', 'Builder mindset: comfortable with autonomy, creating process, and iterating quickly', 'Experience managing SDR support and mentoring early-career reps', 'Resourceful, metrics-driven, and outcome-oriented', 'Willingness to work in-person at the San Francisco or Vancouver office']",,2,
Sybill,AI-powered GTM workflow assistant.,https://www.sybill.ai/templates,Growth Ops (PLG and Social),Mountain View HQ,"May 6, 2025",https://jobs.ashbyhq.com/sybill-ai/a968faba-1122-4edb-9348-e9a8abb07a6e,9.0,,"Title (Growth Ops, PLG/social) aligns well with growth/ops/tech goals but posting has no details so fit is uncertain.","The provided content is front-end HTML/JavaScript loader code for a jobs site and does not include any actual job title, company information, responsibilities, or requirements.",[],[],,6,
Sybill,AI-powered GTM workflow assistant.,https://www.sybill.ai/templates,Founding Account Executive,Remote - North America,"Apr 21, 2025",https://jobs.ashbyhq.com/sybill-ai/0b7dda99-80d7-4f6c-a461-0d0fed238035,8.0,,Seniority,"Head of Sales at Sybill AI: an individual-contributor role to own and drive revenue growth across mid-market and enterprise for an AI-powered sales assistant startup. You will close key deals, shape go-to-market and product positioning, and scale sales processes while working closely with founders and cross-functional teams.","['Own the full sales funnel from prospecting and qualification to negotiation and close for mid-market and enterprise accounts', 'Design, iterate and optimize Sybill’s go-to-market strategy, messaging, discovery, and deal cycles', 'Consistently exceed targets with a metrics-driven approach to forecasting and pipeline management', 'Partner with founders, marketing, product, and customer success to accelerate deal velocity and identify new market opportunities', 'Leverage AI tools (including Sybill) daily to increase productivity, prospecting and closing efficiency', 'Represent the voice of the customer internally to influence product direction and positioning']","['4+ years of experience in a closing role, with at least 2 years in SaaS sales', 'Proven track record of winning deals and multithreading through complex sales cycles', 'Comfortable operating in uncertainty and ambiguity and making strategic decisions independently', 'Strong problem-solving skills, high output (operates with high horsepower) and ability to manage multiple projects', 'Exceptional presentation and communication skills', 'Hands-on interest in AI for sales and experience using tools like ChatGPT; resourceful and proactive in leveraging AI', 'Growth mindset, rapid learner, iterative approach, and comfortable giving/receiving direct feedback', 'Ability to work as a player-coach/founder-level operator (individual contributor, not people management)']",,0,4.0
Sequel.io,Host webinars right on your website.,https://sequel.io/,Live Video Solution Engineer,"San Francisco, United States",,https://apply.workable.com/sequel/?ref=startups.gallery,6.0,,"Moderate fit — strong technical + customer-facing ops background, but posting has no details and candidate lacks explicit live‑video/streaming experience.","The provided posting contains only website/CSS/JavaScript configuration and metadata for Sequel.io's careers page and does not include any job title, role description, responsibilities, or requirements.",[],[],,5,
Teal,Personal career growth platform.,https://www.tealhq.com/,AI Product Engineer,Remote,"Jun 30, 2025",https://jobs.ashbyhq.com/tealhq/fe5decaf-f7a1-4a0a-98c0-b203d5db1560,6.0,,No job details provided; title implies a technical product-engineering role that only partially matches the candidate’s business/strategy-focused background and limited product-engineering experience.,"No job role or company information is present. The posting contains webpage loader/placeholder HTML and JavaScript (a notice to enable JavaScript and asset-loading scripts), so no job details could be extracted.",[],[],,3,
Tana,AI-powered knowledge graph for work.,https://techcrunch.com/2025/02/03/tana-snaps-up-25m-with-its-ai-powered-knowledge-graph-for-work-racking-up-a-160k-waitlist/,Data Scientist,"Oslo, Norway",2025-02-03,https://tana.inc/careers,7.0,,Very vague listing — Data Scientist fits your technical/ML and A/B testing experience but is not strongly aligned with your stated preference for business/strategy/growth-facing roles.,"Tana is a software company (maker of the browser app Tana) advertising open roles and inviting candidates to join a friendly team with ""enormous ambitions."" The provided posting contains only high-level company/app information and does not specify a particular job title or detailed role description.",[],[],,5,
Suger,End-to-end rev engine for cloud marketplaces.,https://www.suger.io,Sales Development Representative (SDR),"San Francisco, CA","Sep 29, 2025",https://jobs.lever.co/suger/034632a4-4686-43d6-825c-8fccee0d14fc,7.0,,"Solid entry into GTM/BD—matches your analytics and customer-facing strengths—but SDR is junior, quota-driven, and less strategic/technical than your stated goals.","Job posting not found (404). No role, company, responsibilities, or requirements information is available in the provided text.",[],[],,6,
Tofu,B2B marketing on autopilot.,https://www.tofuhq.com/post/tofu-raises-5m-to-put-b2b-marketing-on-autopilot,Glyphic,,,https://startups.gallery/companies/glyphic,5.0,,No job/role information provided — cannot evaluate fit.,"The provided text is not a job posting but a long JSON-like list of JavaScript/npm import URLs and project dependencies; it contains no information about a company, role, responsibilities, or qualifications.",[],[],,1,
Tofu,B2B marketing on autopilot.,https://www.tofuhq.com/post/tofu-raises-5m-to-put-b2b-marketing-on-autopilot,Clockwise,,,https://startups.gallery/companies/clockwise,5.0,,"Posting has no role info—only JS imports; unclear and appears technical; candidate targets business/strategy ops roles, so poor fit.","The provided text contains only a large list of JavaScript/ESM module imports and does not include any substantive job description, company information, responsibilities, or requirements.",[],[],,2,
Tofu,B2B marketing on autopilot.,https://www.tofuhq.com/post/tofu-raises-5m-to-put-b2b-marketing-on-autopilot,Tome,,,https://startups.gallery/companies/tome,8.0,,Page not found / no job information to assess; cannot determine fit.,"The provided content is a 'Page not found' page from startups.gallery and contains website boilerplate (scripts, fonts, CSS) rather than a job posting. No company or role information is present.",[],[],,1,
Tofu,B2B marketing on autopilot.,https://www.tofuhq.com/post/tofu-raises-5m-to-put-b2b-marketing-on-autopilot,Gigs,,,https://startups.gallery/companies/gigs,6.0,,No job details (only boilerplate) — impossible to assess fit or alignment.,"The provided posting contains only website boilerplate (scripts, font declarations, and layout fragments) and does not include any job, company, role, or hiring information.",[],[],,1,
Tofu,B2B marketing on autopilot.,https://www.tofuhq.com/post/tofu-raises-5m-to-put-b2b-marketing-on-autopilot,Convictional,,,https://startups.gallery/companies/convictional,8.0,,"No role, responsibilities, or requirements provided — cannot assess fit (company may have relevant GTM/business roles but nothing specified).","The provided text appears to be a webpage/asset dump related to Convictional (referenced with startups.gallery) and contains site scripts, font declarations, and layout code. No specific job title, role description, or hiring details are included in the excerpt.",['No responsibilities or job duties were included in the provided text.'],"['No requirements, qualifications, or skills were included in the provided text.']",,2,
Paragon,Embedded integration platform for SaaS.,https://www.useparagon.com/,Sr. Sales Development Representative,Los Angeles or Remote,"Jan 9, 2025",https://jobs.lever.co/useparagon.com/78063d73-5000-48e0-ac1e-4a42e1e8fcdb,5.0,,"Moderate fit — strong analytics, BD sourcing, and stakeholder skills align with growth/outbound aspects of an SDR, but limited direct sales/quota experience and the role may be less strategic/technical than the candidate prefers.",Job posting not available (404 Not Found). No role or company information was provided in the content.,[],[],,6,
Paragon,Embedded integration platform for SaaS.,https://www.useparagon.com/,Solutions Engineer (Sales Engineer),Los Angeles or Remote,"Nov 27, 2024",https://jobs.lever.co/useparagon.com/4ba7a753-dfc7-457a-99ee-40e0e2cf9d4f,8.0,,"Good fit: technical + customer-facing role matches goals, but posting missing (404) so details unclear.",The job posting page returned a 404 Not Found error and contains no job information (only an error message and page CSS/HTML).,[],[],,7,
Paragon,Embedded integration platform for SaaS.,https://www.useparagon.com/,Sales Development Representative,"Los Angeles, CA","Apr 2, 2024",https://jobs.lever.co/useparagon.com/25f1875d-263b-49d6-8ff1-8fe6c7351d41,7.0,,Customer-facing and GTM-adjacent (useful for Business/BD path) but SDR is typically entry-level sales with limited strategic/technical scope; posting details missing.,"Job posting not available (404 error); no role, company, responsibilities, or requirements information was provided.",[],[],,5,
Paragon,Embedded integration platform for SaaS.,https://www.useparagon.com/,Strategic Account Executive,Los Angeles or Remote,"Oct 20, 2022",https://jobs.lever.co/useparagon.com/85e2e8e4-9b98-4724-87fe-3b40a4c0c6cc,7.0,,"Good overlap with BD/GTM and stakeholder-facing work (venture sourcing, ops, analytics), but limited explicit sales/account-management and quota experience.","Job posting not found (404). No role, company, responsibilities, or requirements information was provided in the text.",[],[],,7,
Podcastle,Podcasting made simple.,https://podcastle.ai/,Various Positions,"Yerevan, Armenia",Not specified,https://podcastle.ai/careers,9.0,,"Good fit — podcast ops, data, and growth/strategy skills map well to 'various positions'; missing role details reduce certainty.","The provided text appears to be website code and analytics snippets for Podcastle Careers (Podcastle.ai) and does not contain any specific job title, role description, or company hiring details beyond the site name.",[],[],,8,
FlutterFlow,Build beautiful applications with ease.,https://www.flutterflow.io/,General Application - Future Openings,Remote - US,"May 15, 2025",https://jobs.ashbyhq.com/FlutterFlow/2faa2b63-761f-4839-9c36-3eed7ad8466a,8.0,,Good fit for growth/GTM/product-ops roles—mix of technical analytics and business/ops + startup/VC experience; posting is generic so role-specific fit may vary.,"FlutterFlow is a leading visual development platform (2M+ users across 200+ countries) that enables teams to build cross‑platform apps with a visual interface. This posting is a general application for future openings (not an active role); submit your resume to be kept on file and be contacted if a matching full‑time, remote opportunity in the United States becomes available. The company is globally distributed and offers competitive benefits that vary by country.","['Submit your resume/CV to be considered for future openings at FlutterFlow', 'Be available to interview and provide additional materials (portfolio, references) if contacted', 'Be open to full‑time, telecommute roles based in the United States', 'Potentially be considered for a variety of roles across the organization depending on fit']","['Submit an up‑to‑date resume/CV (and portfolio where applicable)', 'Applicant must meet location requirement (United States) or be eligible for US‑based roles', 'Willingness to work remotely (telecommute)', 'Relevant skills/experience for future roles (specific skills and levels are not specified in this general application)']",,8,
Nilus,Solving treasury operations.,https://www.nilus.com/post/ai-transforming-treasury-operations,Various Positions,"Tel Aviv, Israel",2025-01-16,https://www.nilus.com/careers,9.0,,"General/Various positions align with candidate’s business+tech goals, but no role details to confirm fit.","Nilus (announced as ""Join the Nilus Team"") is presenting a careers/job posting page that includes site scripts, styles, and a note about an $8.6M fundraise led by Bessemer Venture Partners. The posting contains technical webpage content but does not describe a specific role or duties.",[],[],,7,
Ema,Building a universal AI employee.,https://www.ema.co/,Solutions Architect,India - Bengaluru,"May 5, 2025",https://jobs.ashbyhq.com/ema/aefe11bd-3e23-401b-a08b-b75729a3c3e4,5.0,,Seniority,"Ema is a well-funded AI enterprise based in Silicon Valley with offices in Bangalore building a ""Universal AI employee"" to automate repetitive tasks. They are hiring a Solutions Architect to support pre-sales and post-sales technical engagements by designing solutions, running demos and PoCs, and driving deployments from proof-of-concept to production while working closely with customers, sales, and engineering.","['Collaborate with sales leadership to understand customer requirements and enable technical solution deployment', 'Develop deep knowledge of Ema’s technology and architectures', 'Deliver tailored product demonstrations and run successful proofs of concept (PoCs)', 'Design and architect solutions that integrate with customers’ existing systems (cloud and on-prem)', 'Act as a Trusted Advisor to customer stakeholders and drive adoption of Ema’s solutions', 'Facilitate workshops, design sessions, and implementation activities to move solutions from POC to production', 'Work with engineering to translate customer needs into production-ready deployment models', 'Diagnose and resolve customer technical issues, create repeatable processes, and develop investigation tools', 'Create and maintain technical documentation, including solution architectures, integration guides, and best practices', 'Serve as a subject matter expert and consultant for internal teams (engineering, sales, product) to remove deployment obstacles']","['Bachelor’s degree in Computer Science, Information Technology, or related field', '8+ years experience in Solutions Architect/Engineer, Sales Engineer, Forward Deployment Engineer, or similar technical pre-sales role', 'Strong understanding of enterprise SaaS solutions and cloud technologies', 'Experience with solution design, architecture, and system integration', 'Familiarity with relevant programming languages and technologies', 'Customer-focused mindset and passion for solving customer challenges', 'Excellent presentation and communication skills to convey complex technical concepts', 'Strong collaboration skills and ability to work independently and with a global team']",,0,8.0
Ema,Building a universal AI employee.,https://www.ema.co/,AI Application Engineer,San Francisco Bay Area,"Apr 7, 2025",https://jobs.ashbyhq.com/ema/552b7153-8484-421f-b321-d08d317e60e5,7.0,,"Some ML coursework and Python/TensorFlow plus customer-facing/ops experience align, but lacks the 3+ years of ML engineering, GenAI deployment, cloud/API and enterprise SaaS experience this role requires.","Ema is building an agentic AI platform to boost enterprise productivity; the AI Application Engineer will design, build, integrate and deploy GenAI/agentic AI applications for Fortune 500 customers, working closely with customers and internal teams to align solutions and drive enterprise-scale deployments.","['Build and customize Agentic AI applications for Fortune 500 companies', 'Align GenAI solutions with customer needs and business goals', 'Lead deployment of GenAI applications at enterprise scale', 'Analyze customer data structures and integrate with existing systems', 'Implement APIs and integration protocols for seamless connectivity', 'Evaluate and improve AI model performance', 'Identify patterns in data to troubleshoot and recommend enhancements', 'Collaborate with engineering, product, and customer success teams', 'Engage directly with enterprise customers to gather requirements and provide technical guidance']","[""Bachelor's degree in Computer Science, Information Technology, or related field"", '3+ years experience as an AI/ML Engineer or similar role', 'Solid understanding of traditional ML and Generative AI concepts', 'Practical experience in GenAI application development and prompt engineering, including running evaluations', 'Strong analytical skills to analyze client data and troubleshoot model performance', 'Understanding of enterprise SaaS solutions and cloud technologies', 'Familiarity with API frameworks and integration protocols', 'Ability to work with different data structures and perform basic data transformations', 'Experience with solution design, cloud-based architecture, and integrations', 'Proficiency with relevant programming languages and technologies', 'Prior customer-facing experience is a plus', 'Strong collaboration skills and ability to document complex, cross-functional processes']",,4,3.0
Ema,Building a universal AI employee.,https://www.ema.co/,Machine Learning Intern,San Francisco Bay Area,"Mar 29, 2025",https://jobs.ashbyhq.com/ema/5aa53773-f1bd-4ce9-b7cc-1f7bb4fb202e,5.0,,"Good ML coursework, Python/TensorFlow, and relevant internship ML experience + startup exposure, but misses clear 2+yrs industry ML, LLM/production/MLOps experience and role is more technical than your stated business-focused goals.","Ema is a stealth-mode Silicon Valley startup building enterprise AI (the “Universal AI employee”). They’re hiring a Machine Learning Intern to work with senior ML engineers on researching, building, and deploying ML models (NLP, retrieval, ranking, reasoning) and to contribute to data pipelines, training, evaluation, and production deployments. Locations include the San Francisco Bay Area and Bengaluru; the role offers mentorship and potential to convert to a longer-term position.","['Research, prototype, and deploy machine learning models across NLP, retrieval, ranking, and reasoning', 'Experiment with LLM-based architectures and agentic systems', 'Process and analyze large-scale structured and unstructured datasets', 'Build data pipelines and contribute to model training, evaluation, and production deployment', 'Run validation experiments (e.g., A/B testing) to ensure robustness and reliability', 'Collaborate with cross-functional teams, participate in technical discussions and code reviews']","['2+ years of industry experience in software engineering, data science, or ML (full-time or internship)', 'Strong Python coding skills and experience with ML frameworks like PyTorch or TensorFlow', 'Solid foundation in data structures, algorithms, and software engineering principles', 'Exposure to NLP, deep learning, reinforcement learning, or retrieval systems', 'Experience working with real-world data and comfort with SQL and data processing pipelines', 'Interest or curiosity in MLOps, cloud infrastructure, and scaling ML models', 'Collaborative mindset, eagerness to learn, and ability to work in a fast-paced startup environment', 'Nice to have: LLM training/fine-tuning experience', 'Nice to have: experience deploying models to production or contributing to shipped ML products', 'Nice to have: familiarity with GCP, Azure, or other cloud platforms', 'Nice to have: interest in startup culture and building 0→1 systems']",,6,2.0
Ema,Building a universal AI employee.,https://www.ema.co/,Enterprise Sales Executive - UK,United Kingdom (Remote),"Mar 28, 2025",https://jobs.ashbyhq.com/ema/f3d535ef-4c26-4a5a-8569-9f24fb2885aa,6.0,,"Good technical and stakeholder experience but lacks documented 2+ years of outbound/enterprise sales, quota-driven deal-closing, and UK sales background—low direct fit.","Enterprise Sales Executive (UK) for Ema, an agentic AI platform startup backed by top VCs. Role focuses on outbound enterprise sales to UK customers, building executive relationships, generating pipeline, and closing large-scale AI deals in a fast-paced, remote-friendly environment.","['Outbound prospecting and lead generation to expand presence within target institutions/regions', 'Build and nurture relationships with senior executives and engage in high-level sales conversations', 'Develop, maintain, and manage a robust pipeline of qualified leads through the sales stages', 'Negotiate pricing, terms, and contracts with internal teams and close enterprise deals', 'Monitor market trends, gather customer feedback, and refine sales strategies and processes']","['2+ years of outbound sales experience focused on closing net new business', 'Proven track record of closing large enterprise deals (requirements reference $500k+; company also values experience with $250k+ deals)', 'Excellent written and verbal communication and interpersonal skills for diverse audiences and senior stakeholders', 'Proficiency with sales tools such as LinkedIn Sales Navigator, HubSpot, and other CRMs', 'Strong technical acumen and ability to articulate AI product value; analytical, data-driven decision making', 'Resilience and ability to thrive in a fast-paced startup environment; adaptable and eager to learn', 'Ability to prospect via cold calling and creative outreach to generate pipeline']",,3,2.0
LlamaIndex,Unleash LLMs over your data.,https://www.llamaindex.ai/,Recruiting & Office Operations Coordinator,San Francisco,"Mar 4, 2025",https://jobs.ashbyhq.com/llamaindex/3c42d9a8-db7e-403f-ae34-31e5d95e7f67,6.0,,Matches coordination/operational experience but lacks the strategic/technical growth focus Mason seeks; posting has no details.,"The provided text is a website frontend/JavaScript shell for a jobs page (includes scripts, styles, and loader logic) and does not contain any specific job title, company information, or job details.",['No job responsibilities are listed in the posting.'],['No job requirements are listed in the posting.'],,4,
LlamaIndex,Unleash LLMs over your data.,https://www.llamaindex.ai/,AI Engineer,San Francisco,"Dec 22, 2024",https://jobs.ashbyhq.com/llamaindex/d9b390a3-2514-4067-86fe-111912f67b56,5.0,,"Some technical overlap (Python, TensorFlow, ML coursework) but candidate targets business/strategy-facing roles and lacks clear production ML engineering experience; no job description increases uncertainty.",No job description content was present in the provided text; the document appears to be a JavaScript-driven job board page (assets and scripts) that requires JavaScript to load the actual posting.,[],[],,4,
LlamaIndex,Unleash LLMs over your data.,https://www.llamaindex.ai/,"Founding AI Engineer, Customer Facing",San Francisco,"Jun 21, 2024",https://jobs.ashbyhq.com/llamaindex/c7335674-745e-4e1d-9d30-2277583c7c77,5.0,,"No JD provided; title implies senior production ML engineer — candidate is business/strategy-focused with moderate ML skills, so limited fit.","The posting contains only front-end JavaScript/HTML loader code and a message to enable JavaScript; no company name, role title, or job description is provided.",['No job responsibilities are specified in the provided content; the page only includes app loading and UI scripts.'],"['Enable JavaScript to run the application and view job details.', 'No candidate qualifications, skills, or other requirements are listed in the provided content.']",,3,
Firsthand,AI-powered brand agents.,https://www.firsthand.ai/,Solutions Consultant,New York,"Mar 3, 2025",https://jobs.ashbyhq.com/firsthand/1c19eb27-8ac7-4e13-a1b4-a91d5352b9fd,8.0,,Seniority,"Firsthand is an AI-driven marketing platform (Brand Agent Platform™) based in NYC that builds front-line consumer-facing AI agents. They are hiring a Solutions Consultant to work with enterprise advertisers and publishers to design, implement, and optimize AI agent experiences, bridging client goals with the product and supporting sales, onboarding, and product feedback.","['Guide client onboarding, solution design, and technical implementation', 'Manage end-to-end build of agents (content ingestion to front-end deployment)', 'Design and run AI experiments to demonstrate value and drive optimizations', 'Analyze engagement and campaign data to produce insights, reports, and case studies', 'Provide strategic recommendations to optimize agent design, content inputs, and user flows', 'Collaborate with Engineering and Product to troubleshoot, test improvements, and influence roadmap', 'Create and maintain documentation, playbooks, and enablement materials', 'Support presales and sales with demos, technical narratives, and customer-facing conversations']","['5+ years experience in ad tech, martech, or a SaaS startup', 'Strong client-facing skills and ability to translate between technical details and strategic narratives', 'Experience with solution design, implementation, and project management for enterprise clients', 'Comfortable working with slide decks, spreadsheets, dashboards, and deriving insights from complex data', 'Interest in AI applications for marketing, media, and user experience', 'Ability to work cross-functionally in a fast-paced, ambiguous startup environment', 'Bonus: experience with SQL and troubleshooting network traffic']",,0,5.0
Planhat,Next-gen customer platform.,https://www.planhat.com/,Open Positions,"Los Angeles, United States",,https://www.planhat.com/careers#open-positions,8.0,,No job description provided — cannot assess fit.,The provided text does not contain a job posting. It appears to be HTML/CSS/JavaScript (site markup and styling for a UI/cookie consent component) rather than any role or company description.,[],[],,1,
Levels,Unlock your metabolic health.,https://framer.levels.com/,Various Positions,"New York, United States",,https://levelshealth.notion.site/Careers-at-Levels-3616891ed02d4c0787fd64227f9bc57a/?ref=startups.gallery,9.0,,Tagged 'Various Positions' — matches candidate’s general-application preference and broad business/tech skillset despite no job details.,"The provided text is JavaScript/CSS/HTML scaffolding (Notion page loading code) and does not contain any job title, company information, role description, or hiring details.",[],[],,8,
Puzzle,Modern accounting software.,https://puzzle.io/,Account Executive,Remote U.S. or Canada,"Mar 27, 2025",https://jobs.ashbyhq.com/puzzle.io/c5e0c347-14fe-42a0-857f-8f8422c931aa,7.0,,No job details beyond a loader/HTML; insufficient information to assess fit despite title-only (Account Executive).,"No job title, role, or company information provided. The posting only contains webpage HTML/JavaScript loader code and no readable job details.",[],[],,1,
iyo,Building AI audio computers.,https://www.iyo.audio/,General Interest in iyo,"Redwood City, CA, USA","Apr 6, 2023",https://jobs.ashbyhq.com/iyo/40b259c9-fc7d-4881-9c8a-627418085a9c,8.0,,Open general application strongly matches business/ops/tech goals and Bay Area background; lack of specific role info reduces certainty.,"Iyo is inviting general interest applications for full-time roles in Redwood City, CA. They welcome people who are passionate about the company's mission to apply even if no specific opening matches their background; Iyo will review submissions and keep candidates in mind for future opportunities.","['Submit a general application expressing interest in Iyo', 'Provide your background and what you are looking for in your next role', 'Connect with the company for consideration for future openings']","[""Passion for Iyo's mission"", 'Provide relevant background information and career interests', 'No specific qualifications or experience levels are listed (open call)']",,8,
